,age,gender,occupation,genre
0,0.8030303030303031,1,15,2
1,0.8030303030303031,1,15,0
2,0.8030303030303031,1,15,5
3,0.8030303030303031,1,15,7
4,0.8030303030303031,1,15,3
5,0.8030303030303031,1,15,7
6,0.8030303030303031,1,15,5
7,0.8030303030303031,1,15,5
8,0.8030303030303031,1,15,7
9,0.8030303030303031,1,15,0
10,0.8030303030303031,1,15,7
11,0.8030303030303031,1,15,0
12,0.8030303030303031,1,15,0
13,0.8030303030303031,1,15,7
14,0.8030303030303031,1,15,0
15,0.8030303030303031,1,15,4
16,0.8030303030303031,1,15,0
17,0.8030303030303031,1,15,7
18,0.8030303030303031,1,15,7
19,0.8030303030303031,1,15,6
20,0.8030303030303031,1,15,4
21,0.8030303030303031,1,15,7
22,0.8030303030303031,1,15,4
23,0.8030303030303031,1,15,4
24,0.8030303030303031,1,15,6
25,0.8030303030303031,1,15,4
26,0.8030303030303031,1,15,0
27,0.8030303030303031,1,15,0
28,0.8030303030303031,1,15,5
29,0.8030303030303031,1,15,5
30,0.8030303030303031,1,15,7
31,0.8030303030303031,1,15,7
32,0.8030303030303031,1,15,7
33,0.8030303030303031,1,15,7
34,0.8030303030303031,1,15,7
35,0.8030303030303031,1,15,4
36,0.8030303030303031,1,15,4
37,0.8030303030303031,1,15,0
38,0.8030303030303031,1,15,4
39,0.8030303030303031,1,15,4
40,0.8030303030303031,1,15,2
41,0.8030303030303031,1,15,4
42,0.8030303030303031,1,15,0
43,0.8030303030303031,1,15,0
44,0.8030303030303031,1,15,7
45,0.8030303030303031,1,15,0
46,0.8030303030303031,1,15,4
47,0.8030303030303031,1,15,0
48,0.8030303030303031,1,15,4
49,0.8030303030303031,1,15,7
50,0.8030303030303031,1,15,4
51,0.8030303030303031,1,15,9
52,0.8030303030303031,1,15,3
53,0.8030303030303031,1,15,0
54,0.8030303030303031,1,15,2
55,0.8030303030303031,1,15,0
56,0.8030303030303031,1,15,1
57,0.8030303030303031,1,15,7
58,0.8030303030303031,1,15,2
59,0.8030303030303031,1,15,5
60,0.8030303030303031,1,15,7
